candidate,compaction,query_engine,round,phase,status,duration_s,rows,error
iceberg-v2-cow,none,writer-spark,0,load,ok,6.242771517005167,100000,
iceberg-v2-cow,none,writer-spark,1,load,ok,6.198498933663359,180000,
iceberg-v2-cow,none,spark,1,freshness,ok,0.29841358333699947,0,
iceberg-v2-cow,none,spark,1,query,ok,0.22913181933108717,180000,
iceberg-v2-cow,none,writer-spark,2,load,ok,3.1880929179969826,260000,
iceberg-v2-cow,none,spark,2,freshness,ok,0.17081841666610367,0,
iceberg-v2-cow,none,spark,2,query,ok,0.1791762990008768,188903,
iceberg-v2-cow,none,writer-spark,3,load,ok,2.9067721126654456,340000,
iceberg-v2-cow,none,spark,3,freshness,ok,0.18601257000409532,0,
iceberg-v2-cow,none,spark,3,query,ok,0.16521568783233911,192166,
iceberg-v2-cow,none,writer-spark,4,load,ok,2.9540297093311287,420000,
iceberg-v2-cow,none,spark,4,freshness,ok,0.20545004166827616,0,
iceberg-v2-cow,none,spark,4,query,ok,0.15150893716539335,194111,
iceberg-v2-cow,none,writer-spark,5,load,ok,3.1465390433343905,500000,
iceberg-v2-cow,none,spark,5,freshness,ok,0.18369841666329498,0,
iceberg-v2-cow,none,spark,5,query,ok,0.15079026400053408,195222,
iceberg-v2-cow,none,writer-spark,6,load,ok,3.330988529334718,580000,
iceberg-v2-cow,none,spark,6,freshness,ok,0.1937068196615049,0,
iceberg-v2-cow,none,spark,6,query,ok,0.14140505566926245,195971,
iceberg-v2-cow,none,writer-spark,7,load,ok,3.4538600293381023,660000,
iceberg-v2-cow,none,spark,7,freshness,ok,0.1751121250029731,0,
iceberg-v2-cow,none,spark,7,query,ok,0.1444759306650667,196567,
iceberg-v2-cow,none,writer-spark,8,load,ok,3.6591845156702525,740000,
iceberg-v2-cow,none,spark,8,freshness,ok,0.17288486099763153,0,
iceberg-v2-cow,none,spark,8,query,ok,0.14244814616419413,197004,
iceberg-v2-cow,none,writer-spark,9,load,ok,3.7589700153354593,820000,
iceberg-v2-cow,none,spark,9,freshness,ok,0.17528838899791785,0,
iceberg-v2-cow,none,spark,9,query,ok,0.13987274299870478,197268,
iceberg-v2-cow,none,writer-spark,10,load,ok,3.9335419183310782,900000,
iceberg-v2-cow,none,spark,10,freshness,ok,0.16845684700092534,0,
iceberg-v2-cow,none,spark,10,query,ok,0.14097834716691673,197555,
iceberg-v2-cow,none,writer-spark,11,load,ok,4.092459849331742,980000,
iceberg-v2-cow,none,spark,11,freshness,ok,0.17933111132879276,0,
iceberg-v2-cow,none,spark,11,query,ok,0.14000586133261095,197805,
iceberg-v2-cow,none,writer-spark,12,load,ok,4.222106863004835,1060000,
iceberg-v2-cow,none,spark,12,freshness,ok,0.17643852800150248,0,
iceberg-v2-cow,none,spark,12,query,ok,0.13939646533011305,197942,
iceberg-v2-cow,none,writer-spark,13,load,ok,4.411826543330487,1140000,
iceberg-v2-cow,none,spark,13,freshness,ok,0.17511538866529008,0,
iceberg-v2-cow,none,spark,13,query,ok,0.14442475699979695,198137,
iceberg-v2-cow,none,writer-spark,14,load,ok,4.449277738334786,1220000,
iceberg-v2-cow,none,spark,14,freshness,ok,0.22123104199757412,0,
iceberg-v2-cow,none,spark,14,query,ok,0.1459520208312218,198284,
iceberg-v2-cow,none,writer-spark,15,load,ok,4.5907384740033494,1300000,
iceberg-v2-cow,none,spark,15,freshness,ok,0.21779247233644128,0,
iceberg-v2-cow,none,spark,15,query,ok,0.13969469433747386,198336,
iceberg-v2-cow,none,writer-spark,16,load,ok,4.764712598994568,1380000,
iceberg-v2-cow,none,spark,16,freshness,ok,0.18192573633617334,0,
iceberg-v2-cow,none,spark,16,query,ok,0.14696897933269307,198432,
