candidate,compaction,query_engine,round,phase,status,duration_s,rows,error
iceberg-v2-cow,none,writer-spark,0,load,ok,6.611072808669026,100000,
iceberg-v2-cow,none,writer-spark,1,load,ok,6.272030127666464,180000,
iceberg-v2-cow,none,starrocks-4.1.1,1,freshness,ok,0.1235161386624289,0,
iceberg-v2-cow,none,starrocks-4.1.1,1,query,ok,0.04440934016747633,180000,
iceberg-v2-cow,none,writer-spark,2,load,ok,3.4126739599984526,260000,
iceberg-v2-cow,none,starrocks-4.1.1,2,freshness,ok,0.12533597232444058,0,
iceberg-v2-cow,none,starrocks-4.1.1,2,query,ok,0.043783361334741734,188903,
iceberg-v2-cow,none,writer-spark,3,load,ok,3.3607653900010823,340000,
iceberg-v2-cow,none,starrocks-4.1.1,3,freshness,ok,0.09430901366188967,0,
iceberg-v2-cow,none,starrocks-4.1.1,3,query,ok,0.04558963216792714,192166,
iceberg-v2-cow,none,writer-spark,4,load,ok,3.329861807336177,420000,
iceberg-v2-cow,none,starrocks-4.1.1,4,freshness,ok,0.11194991632752742,0,
iceberg-v2-cow,none,starrocks-4.1.1,4,query,ok,0.045708430673888266,194111,
iceberg-v2-cow,none,writer-spark,5,load,ok,3.339778210337196,500000,
iceberg-v2-cow,none,starrocks-4.1.1,5,freshness,ok,0.12260506966170699,0,
iceberg-v2-cow,none,starrocks-4.1.1,5,query,ok,0.04492503499932354,195222,
iceberg-v2-cow,none,writer-spark,6,load,ok,3.5711531820027935,580000,
iceberg-v2-cow,none,starrocks-4.1.1,6,freshness,ok,0.11799691666965373,0,
iceberg-v2-cow,none,starrocks-4.1.1,6,query,ok,0.04694534017229065,195971,
iceberg-v2-cow,none,writer-spark,7,load,ok,3.514024876324887,660000,
iceberg-v2-cow,none,starrocks-4.1.1,7,freshness,ok,0.09800620833508826,0,
iceberg-v2-cow,none,starrocks-4.1.1,7,query,ok,0.046188507001109734,196567,
iceberg-v2-cow,none,writer-spark,8,load,ok,3.941171126997991,740000,
iceberg-v2-cow,none,starrocks-4.1.1,8,freshness,ok,0.10515727800278303,0,
iceberg-v2-cow,none,starrocks-4.1.1,8,query,ok,0.04648391000228003,197004,
iceberg-v2-cow,none,writer-spark,9,load,ok,3.7780278350013154,820000,
iceberg-v2-cow,none,starrocks-4.1.1,9,freshness,ok,0.10678023633469517,0,
iceberg-v2-cow,none,starrocks-4.1.1,9,query,ok,0.04542134700507935,197268,
iceberg-v2-cow,none,writer-spark,10,load,ok,3.972667113004718,900000,
iceberg-v2-cow,none,starrocks-4.1.1,10,freshness,ok,0.09541284733374293,0,
iceberg-v2-cow,none,starrocks-4.1.1,10,query,ok,0.04504116666794289,197555,
iceberg-v2-cow,none,writer-spark,11,load,ok,4.0338547520077555,980000,
iceberg-v2-cow,none,starrocks-4.1.1,11,freshness,ok,0.10872995833536454,0,
iceberg-v2-cow,none,starrocks-4.1.1,11,query,ok,0.04560100016048333,197805,
iceberg-v2-cow,none,writer-spark,12,load,ok,4.363068709998818,1060000,
iceberg-v2-cow,none,starrocks-4.1.1,12,freshness,ok,0.12077733332989737,0,
iceberg-v2-cow,none,starrocks-4.1.1,12,query,ok,0.047004208502282076,197942,
iceberg-v2-cow,none,writer-spark,13,load,ok,4.374347279663198,1140000,
iceberg-v2-cow,none,starrocks-4.1.1,13,freshness,ok,0.10236647200266209,0,
iceberg-v2-cow,none,starrocks-4.1.1,13,query,ok,0.04640541683329502,198137,
iceberg-v2-cow,none,writer-spark,14,load,ok,4.509850446003838,1220000,
iceberg-v2-cow,none,starrocks-4.1.1,14,freshness,ok,0.11410754199702448,0,
iceberg-v2-cow,none,starrocks-4.1.1,14,query,ok,0.047143083499880355,198284,
iceberg-v2-cow,none,writer-spark,15,load,ok,4.7735393493348965,1300000,
iceberg-v2-cow,none,starrocks-4.1.1,15,freshness,ok,0.1069306110002799,0,
iceberg-v2-cow,none,starrocks-4.1.1,15,query,ok,0.04696353483450366,198336,
